HashCode HT_File_Map_lu_pyra
Restart_ID -1

Entrance_ID 0

Health 9 9

Num_Objectives 1056
{
HT_Objective_AbyNorth_Shop_Parasol 0
HT_Objective_Aby_AnnoyKemmit 0
HT_Objective_Aby_BoughtLever 0
HT_Objective_Aby_BridgeGuard_Talk 0
HT_Objective_Aby_Cana_Pearl1 0
HT_Objective_Aby_Cana_Pearl2 0
HT_Objective_Aby_Cana_Pearl3 0
HT_Objective_Aby_Canal_BeggarDonations 0
HT_Objective_Aby_Canal_BeggarTalked 0
HT_Objective_Aby_Canal_CSMummyCastle 0
HT_Objective_Aby_Canal_Gate01Open 0
HT_Objective_Aby_Canal_Gate02Open 0
HT_Objective_Aby_Canal_GateGuard01Talked 0
HT_Objective_Aby_Canal_GateGuard02Beasts 0
HT_Objective_Aby_Canal_GateGuard02Talked 0
HT_Objective_Aby_Canal_GetPasscardNote 0
HT_Objective_Aby_Canal_HerbMGPairs 0
HT_Objective_Aby_Canal_HerbMGShoot 0
HT_Objective_Aby_Canal_HerbMGSimon 0
HT_Objective_Aby_Canal_HerbMGWalls 0
HT_Objective_Aby_Canal_InventorTalked 0
HT_Objective_Aby_CoronationDone 0
HT_Objective_Aby_CouncilExt_DoorsOpen 0
HT_Objective_Aby_Council_CSComplete 0
HT_Objective_Aby_Council_CSCoronation 0
HT_Objective_Aby_Council_CSDoorOpened 0
HT_Objective_Aby_Council_CSLockedOut 0
HT_Objective_Aby_Council_ChestMemory 0
HT_Objective_Aby_Council_GlyphMemory 0
HT_Objective_Aby_Council_MayorCured 0
HT_Objective_Aby_Council_PhysicianTalked 0
HT_Objective_Aby_Council_PoolStatue 0
HT_Objective_Aby_Council_RoofTarget01 0
HT_Objective_Aby_Council_RoofTarget02 0
HT_Objective_Aby_Council_RoofTarget03 0
HT_Objective_Aby_Council_RoofTargetCounter 0
HT_Objective_Aby_CureIngred1 0
HT_Objective_Aby_CureIngred2 0
HT_Objective_Aby_CureIngred3 0
HT_Objective_Aby_CureIngred4 0
HT_Objective_Aby_CureIngred5 0
HT_Objective_Aby_CureMayor 0
HT_Objective_Aby_DeliverMessage 0
HT_Objective_Aby_DivingBellReady 0
HT_Objective_Aby_ElectricAnkh 0
HT_Objective_Aby_ElectricWater 1
HT_Objective_Aby_FatAbydosian 0
HT_Objective_Aby_GateGuard_Done 0
HT_Objective_Aby_GateGuard_Pass 0
HT_Objective_Aby_GateGuard_Talked 0
HT_Objective_Aby_GondolaPole 0
HT_Objective_Aby_HeardPhysician 0
HT_Objective_Aby_KillGuard_Done 0
HT_Objective_Aby_KillGuard_Talked 0
HT_Objective_Aby_LowerBridge 0
HT_Objective_Aby_Museum_Help 0
HT_Objective_Aby_Museum_Jewels 0
HT_Objective_Aby_Museum_Monsters1 0
HT_Objective_Aby_Museum_Monsters2 0
HT_Objective_Aby_Museum_Opening 0
HT_Objective_Aby_Pearlman_Done 0
HT_Objective_Aby_Pearlman_Gotitems 0
HT_Objective_Aby_Pearlman_Talked 0
HT_Objective_Aby_PoolDrained01 0
HT_Objective_Aby_PoolDrained02 0
HT_Objective_Aby_PoshChecklist 0
HT_Objective_Aby_RaceAthlete 0
HT_Objective_Aby_Racist 0
HT_Objective_Aby_SavedPosh 0
HT_Objective_Aby_Sewer_WellDoor 0
HT_Objective_Aby_Sewer_WellDoorLock 0
HT_Objective_Aby_ShopKeeper_Hello 0
HT_Objective_Aby_ShopKeeper_PurchasedBefore 0
HT_Objective_Aby_Shop_SellMonsterPrice 0
HT_Objective_Aby_Shop_Welcome 0
HT_Objective_Aby_Sneaky_talked 0
HT_Objective_Aby_StairsDoor 0
HT_Objective_Aby_Switch1 0
HT_Objective_Aby_Switch2 0
HT_Objective_Aby_Switch3 0
HT_Objective_Aby_TalkedToUpper 0
HT_Objective_Aby_ThiefBlocked 0
HT_Objective_Aby_ThiefPosition 0
HT_Objective_Aby_WheelhouseKey 0
HT_Objective_AkaNorth_FishingGame 0
HT_Objective_Aka_BrokenDome_Civilian1Escaped 0
HT_Objective_Aka_BrokenDome_Civilian2Dead 0
HT_Objective_Aka_BrokenDome_DomeFlooded 0
HT_Objective_Aka_BrokenDome_OxygenAnkh 0
HT_Objective_Aka_BrokenDome_SleepyTalked1 0
HT_Objective_Aka_BrokenDome_SleepyTalked2 0
HT_Objective_Aka_CrystalDoor1 0
HT_Objective_Aka_CrystalDoor2 0
HT_Objective_Aka_CrystalDoor3 0
HT_Objective_Aka_CrystalDoor4 0
HT_Objective_Aka_CrystalDoor4a 0
HT_Objective_Aka_CrystalDoor4b 0
HT_Objective_Aka_CrystalDoor4c 0
HT_Objective_Aka_CutsceneResonater 0
HT_Objective_Aka_DungeonPearl1 0
HT_Objective_Aka_DungeonPearl2 0
HT_Objective_Aka_DungeonPearl3 0
HT_Objective_Aka_DungeonPearl3_Dropped 0
HT_Objective_Aka_DungeonPearl4 0
HT_Objective_Aka_DungeonPearl4_Dropped 0
HT_Objective_Aka_Dungeon_1C_Portcullis 0
HT_Objective_Aka_Dungeon_BossDoor 0
HT_Objective_Aka_Dungeon_CSIshkaTransform 0
HT_Objective_Aka_Dungeon_Pearl1On 0
HT_Objective_Aka_Dungeon_Pearl2On 0
HT_Objective_Aka_Dungeon_Pearl3On 0
HT_Objective_Aka_Dungeon_Pearl4On 0
HT_Objective_Aka_Dungeon_Room1a_IshkaRanAway1 0
HT_Objective_Aka_Dungeon_Room1a_Worshippers 0
HT_Objective_Aka_EvilMonks 0
HT_Objective_Aka_GiveProof 0
HT_Objective_Aka_GreenMine1 0
HT_Objective_Aka_GreenMine10 0
HT_Objective_Aka_GreenMine11 0
HT_Objective_Aka_GreenMine12 0
HT_Objective_Aka_GreenMine13 0
HT_Objective_Aka_GreenMine2 0
HT_Objective_Aka_GreenMine3 0
HT_Objective_Aka_GreenMine4 0
HT_Objective_Aka_GreenMine5 0
HT_Objective_Aka_GreenMine6 0
HT_Objective_Aka_GreenMine7 0
HT_Objective_Aka_GreenMine8 0
HT_Objective_Aka_GreenMine9 0
HT_Objective_Aka_IshkaGone 0
HT_Objective_Aka_IshkaKilled 0
HT_Objective_Aka_Minefield_RedMine1 0
HT_Objective_Aka_Minefield_RedMine10 0
HT_Objective_Aka_Minefield_RedMine11 0
HT_Objective_Aka_Minefield_RedMine12 0
HT_Objective_Aka_Minefield_RedMine13 0
HT_Objective_Aka_Minefield_RedMine14 0
HT_Objective_Aka_Minefield_RedMine2 0
HT_Objective_Aka_Minefield_RedMine3 0
HT_Objective_Aka_Minefield_RedMine4 0
